Date,f_GSP,f_NDAQ,f_OPEC,f_TREASURY
28/02/2018,0.020789683,0.035637286,0.037732845,0
27/02/2018,0.007392397,0.007007007,0.020034982,0.022222222
26/02/2018,-0.003501065,-0.027846842,0.010735459,0.030769231
23/02/2018,0.018904613,0.011764706,0.006603318,0.060606061
22/02/2018,0.026448548,0.018350995,0.036126691,0.037313433
21/02/2018,0.036207452,0.025567813,0.039160608,0
20/02/2018,0.049742868,0.068598777,0.022444299,-0.007633588
19/02/2018,0.00507257,0.033562265,0.008445672,0
16/02/2018,0.00507257,0.033562265,-0.033790245,0
15/02/2018,-0.010409001,0.012641899,-0.059664388,-0.014705882
14/02/2018,0.015764233,0.035375784,-0.059331176,-0.087837838
13/02/2018,-0.044329601,-0.043724086,-0.063574144,-0.064285714
12/02/2018,-0.081141474,-0.071939783,-0.065116972,-0.057142857
09/02/2018,-0.047858155,-0.037853318,-0.037679426,-0.035460993
08/02/2018,-0.048464031,-0.0527727,-0.020971635,0.034965035
07/02/2018,-0.064884211,-0.049331206,-0.012762763,-0.060402685
06/02/2018,-0.036655622,-0.012536873,-0.007248521,0.09375
05/02/2018,-0.008955287,-0.00036855,-0.015602002,0.137096774
02/02/2018,-0.007880537,-0.004552165,-0.031843412,0.162601626
01/02/2018,-0.008079651,0.016517635,-0.014938619,0.192
31/01/2018,0.006518404,0.01183542,0.004159239,0.015873016
30/01/2018,0.022679449,0.011940299,0.015697414,-0.023622047
29/01/2018,0.013077107,0.015257629,0.029783394,-0.0390625
26/01/2018,0.012539288,0.012094763,0.00610119,-0.031007752
25/01/2018,0.01943989,-0.007670419,0.003727449,-0.038167939
24/01/2018,0.012150942,-0.015266243,-0.009623927,-0.045112782
23/01/2018,0.01448285,-0.007929625,-0.019179699,-0.022900763
22/01/2018,0.016367777,-0.018081181,0.000446628,-0.022727273
19/01/2018,0.020764546,0.000746269,-0.004600772,0
18/01/2018,0.00918525,0.003368684,0.00446163,0.047244094
17/01/2018,0.015886017,0.027378249,0.020936888,0.007692308
16/01/2018,0.0132646,0.018352107,0.020045558,0.039370079
15/01/2018,0.010635014,0.046239052,0.023079259,0.0234375
12/01/2018,0.010635014,0.046239052,0.01678512,0.0234375
11/01/2018,0.019808328,0.046059499,0.019345924,-0.015503876
10/01/2018,0.023839954,0.036422553,0.015576804,0.007751938
09/01/2018,0.020080695,0.031380208,0.021560416,-0.0078125
08/01/2018,0.014105915,0.03064833,0.030543868,0.075630252
05/01/2018,0.011543193,0.019427671,0.013854296,0.093220339
04/01/2018,0.006240925,0.00642623,0.028064056,0.040322581
03/01/2018,-0.003952694,0.016135432,0.028886052,0.113043478
02/01/2018,0.001684669,0.018329127,0.024098308,-0.016528926
01/01/2018,-0.00206824,-0.000523697,0.033462033,-0.032786885
29/12/2017,-0.00206824,-0.000523697,0.033462033,-0.032786885
28/12/2017,-0.004534465,-0.012196704,0.021872975,-0.008
27/12/2017,-0.00096049,-0.022607579,0.016547696,-0.087301587
26/12/2017,0.008997944,-0.032589171,0.019193234,-0.024193548
25/12/2017,0.005018962,-0.039052497,0.021192706,0.008264463
22/12/2017,0.005018962,-0.039052497,0.021192706,0.008264463
21/12/2017,0.005203161,-0.039742619,0.003577236,0.024590164
20/12/2017,0.010680986,-0.028279258,-0.017689243,0
19/12/2017,0.008905923,-0.021338384,-0.007426542,0.050847458
18/12/2017,0.002191814,-0.00603028,-0.002621661,0.061403509
