timestamp,open,high,low,close,volume
2006-03-17,2.9100,2.9100,2.8000,2.8600,6616
2006-03-16,2.9700,2.9900,2.7524,2.8700,36723
2006-03-15,2.9600,3.0100,2.8500,2.8900,76051
2006-03-14,2.9700,2.9900,2.7400,2.9300,80674
2006-03-13,2.6400,3.0500,2.5500,2.9700,194478
2006-03-10,2.5300,2.5900,2.5100,2.5800,39760
2006-03-09,2.5300,2.5900,2.5200,2.5400,60179
2006-03-08,2.5200,2.5900,2.5200,2.5900,12753
2006-03-07,2.5200,2.5800,2.5200,2.5700,3850
2006-03-06,2.5400,2.5900,2.5300,2.5700,16100
2006-03-03,2.6500,2.6500,2.5000,2.5900,18252
2006-03-02,2.5300,2.6500,2.5100,2.5800,7600
2006-03-01,2.6700,2.6700,2.5172,2.5800,17540
2006-02-28,2.6300,2.6504,2.6300,2.6500,12400
2006-02-27,2.7000,2.7000,2.6400,2.6404,8362
2006-02-24,2.6400,2.7000,2.6300,2.6600,14800
2006-02-23,2.6300,2.6800,2.6000,2.6800,37735
2006-02-22,2.6900,2.6900,2.6200,2.6600,24500
2006-02-21,2.7400,2.7400,2.5600,2.6900,29813
2006-02-17,2.6300,2.6600,2.6300,2.6600,2100
2006-02-16,2.7000,2.7000,2.6100,2.6600,3140
2006-02-15,2.7300,2.7300,2.6300,2.6300,16823
2006-02-14,2.6700,2.7000,2.6300,2.6900,5563
2006-02-13,2.6100,2.7000,2.6100,2.7000,6600
2006-02-10,2.6300,2.7000,2.6101,2.6700,17049
2006-02-09,2.6500,2.7000,2.6500,2.6500,18281
2006-02-08,2.6500,2.7500,2.5100,2.6300,47310
2006-02-07,2.6000,2.6100,2.5400,2.6100,11610
2006-02-06,2.5100,2.6546,2.5100,2.6000,63695
2006-02-03,2.5800,2.6000,2.5500,2.6000,5240
2006-02-02,2.6200,2.6200,2.5500,2.5800,12117
2006-02-01,2.5684,2.6500,2.5500,2.5714,25318
2006-01-31,2.6000,2.6200,2.5300,2.5900,5400
2006-01-30,2.6200,2.6200,2.5500,2.5700,11454
2006-01-27,2.6000,2.6200,2.5500,2.6100,10727
2006-01-26,2.6200,2.6200,2.5200,2.5900,13800
2006-01-25,2.6700,2.7200,2.5500,2.6000,13100
2006-01-24,2.8900,2.8900,2.6000,2.6200,80400
2006-01-23,2.6900,2.8800,2.6700,2.7900,135300
2006-01-20,2.6000,2.7500,2.5600,2.6700,205400
2006-01-19,2.5200,2.5500,2.4900,2.5300,4700
2006-01-18,2.5800,2.5900,2.4900,2.5600,35100
2006-01-17,2.5800,2.5800,2.5000,2.5500,11400
2006-01-13,2.5500,2.5800,2.5000,2.5700,25300
2006-01-12,2.6000,2.6300,2.5000,2.5400,18200
2006-01-11,2.6600,2.7464,2.6000,2.6300,44200
2006-01-10,2.6500,2.7800,2.5800,2.6200,69300
2006-01-09,2.4000,2.5800,2.4000,2.5500,47900
2006-01-06,2.4600,2.4600,2.4000,2.4500,9200
2006-01-05,2.4000,2.4500,2.4000,2.4000,8700
2006-01-04,2.3727,2.4700,2.3601,2.4700,42800
2006-01-03,2.4000,2.4000,2.3100,2.3900,27100
2005-12-30,2.2700,2.3000,2.2500,2.2900,17200
2005-12-29,2.2300,2.2700,2.1300,2.2700,25200
2005-12-28,2.2800,2.3100,2.2300,2.2800,29700
2005-12-27,2.3600,2.3600,2.2700,2.2900,10600
2005-12-23,2.3700,2.3900,2.2600,2.3600,18400
2005-12-22,2.2500,2.4000,2.2500,2.3700,17100
2005-12-21,2.2500,2.3800,2.2500,2.3300,8700
2005-12-20,2.2600,2.3200,2.2600,2.3100,10200
2005-12-19,2.2500,2.3300,2.2500,2.3000,4500
2005-12-16,2.3500,2.3800,2.2500,2.2800,24900
2005-12-15,2.3900,2.4100,2.3100,2.3500,16200
2005-12-14,2.4200,2.4200,2.3200,2.3800,7300
2005-12-13,2.4900,2.4900,2.3300,2.3800,53600
2005-12-12,2.2800,2.3400,2.2800,2.2900,26700
2005-12-09,2.2500,2.2900,2.2300,2.2800,19100
2005-12-08,2.2900,2.2900,2.2100,2.2400,26800
2005-12-07,2.3800,2.3800,2.2400,2.3100,76700
2005-12-06,2.3900,2.4000,2.3100,2.3600,41500
2005-12-05,2.4000,2.4800,2.3600,2.4100,56900
2005-12-02,2.4100,2.4100,2.3600,2.3800,55600
2005-12-01,2.3900,2.5000,2.3900,2.4200,25800
2005-11-30,2.5500,2.5500,2.3700,2.4100,58000
2005-11-29,2.5000,2.6000,2.3500,2.4200,234400
2005-11-28,2.9500,2.9500,2.7000,2.8890,108100
2005-11-25,2.8100,2.8700,2.7000,2.8700,63000
2005-11-23,2.5800,2.6800,2.5600,2.6800,33800
2005-11-22,2.6500,2.6500,2.5300,2.6500,38600
2005-11-21,2.6100,2.7000,2.5601,2.6340,58500
2005-11-18,2.4900,2.6700,2.4900,2.6500,53000
2005-11-17,2.5500,2.6200,2.4800,2.5400,45700
